AMongest	AMongest	p-acp	Amongst	amongst	0
satisfaction	satisfaction	n1	satisfaction	satisfaction	0
once	once	a-acp	once	once	0
and	and	cc	and	and	0
euer	euer	av	ever	ever	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
our	our	po12	our	our	0
sinnes	sinnes	n2	sins	sin	0
,	,	,	,	,	0
an	an	dt	and	a	0
absolute	absolute	j	absolute	absolute	0
discharge	discharge	n1	discharge	discharge	0
and	and	cc	and	and	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
quietance	quietance	n1	quietance	quietance	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
our	our	po12	our	our	0
debtes	debtes	n2	debts	debt	0
:	:	:	:	:	0
briefly	briefly	av-j	briefly	brief	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
free	free	j	free	free	0
iustification	iustification	n1	justification	justification	0
,	,	,	,	,	0
redemption	redemption	n1	redemption	redemption	0
and	and	cc	and	and	0
righteousnes	righteousnes	n1	righteousness	righteousness	0
before	before	p-acp	before	before	0
God	God	np1	God	God	0
for	for	c-acp	for	for	0
euer	euer	av	ever	ever	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
beleue	beleue	vvb	believe	believe	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
meanes	meanes	n2	means	mean	0
or	or	cc	or	or	0
helpe	helpe	n1	help	help	0
annex	annex	vvi	annex	annex	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
thereto	thereto	av	thereto	thereto	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
aright	aright	av	aright	aright	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
crucifi	crucifi	n2	crucifi	crucifi	0
∣	∣	sy	∣	∣	0
ed.	ed.	n1	ed.	ed.	1
The	The	dt	The	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
wherof	wherof	c-crq	whereof	whereof	0
semeth	semeth	vvz	seemeth	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
wanting	wanting	vvg	wanting	want	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
Rome	Rome	np1	Rome	Rome	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
sensibly	sensibly	av-j	sensibly	sensible	0
appeare	appeare	vvi	appear	appear	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
doctrine	doctrine	n1	doctrine	doctrine	0
and	and	cc	and	and	0
institutes	institutes	n2	institutes	institute	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
auricular	auricular	j	auricular	auricular	0
confession	confession	n1	confession	confession	0
and	and	cc	and	and	0
satisfaction	satisfaction	n1	satisfaction	satisfaction	0
for	for	p-acp	for	for	0
sinnes	sinnes	n2	sins	sin	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
dayly	dayly	j	daily	daily	0
sacrifice	sacrifice	n1	sacrifice	sacrifice	0
,	,	,	,	,	0
propitiatory	propitiatory	j	propitiatory	propitiatory	0
Masses	Masses	n2	Masses	mass	0
,	,	,	,	,	0
tren	tren	n2	tren	tren	0
∣	∣	sy	∣	∣	0
tals	tals	n2-jn	tals	tal	0
,	,	,	,	,	0
and	and	cc	and	and	0
Purgatory	Purgatory	n1	Purgatory	purgatory	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
merites	merites	n2	merits	merit	0
of	of	pp-f	of	of	0
supererogation	supererogation	n1	supererogation	supererogation	0
,	,	,	,	,	0
Inuoca	Inuoca	np1	Inuoca	Inuoca	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
Saintes	Saintes	np1	Saintes	Saintes	0
,	,	,	,	,	0
the	the	dt	the	the	0
Popes	Popes	ng1	Popes	pope	0
pardons	pardons	n2	pardons	pardon	0
,	,	,	,	,	0
&	&	cc	&	and	0
dispensations	dispensations	n2	dispensations	dispensation	0
:	:	:	:	:	0
Final	Final	j	Final	final	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
the	the	dt	the	the	0
procedyngs	procedyngs	n2-vvg	proceedings	proceed	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
euen	euen	av	even	even	0
frō	frō	p-acp	from	from	0
the	the	dt	the	the	0
holywa	holywa	uh	holywa	holywa	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
stocke	stocke	n1	stock	stock	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
hāgyng	hāgyng	n-vvg	hanging	hang	0
pixe	pixe	vvi	pix	pix	0
on	on	p-acp	on	on	0
ye	ye	pn22	you	you	0
high	high	j	high	high	0
altar	altar	n1	altar	altar	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
all	all	av-d	all	all	0
beyng	beyng	vbg	being	be	0
packt	packt	vvn	packed	pack	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
fardell	fardell	n1	farthel	farthel	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
Pandoras	Pandoras	npg1	Pandoras	Pandora	0
boxe	boxe	n1	box	box	0
together	together	av	together	together	0
,	,	,	,	,	0
make	make	vvb	make	make	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
heape	heape	n1	heap	heap	0
or	or	cc	or	or	0
chaos	chaos	n1	chaos	chaos	0
of	of	pp-f	of	of	0
phantasticall	phantasticall	j	fantastical	fantastical	0
trifles	trifles	n2	trifles	trifle	0
,	,	,	,	,	0
proceeding	proceeding	vvg	proceeding	proceed	0
onely	onely	av-j	only	only	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ignorance	ignorance	n1	ignorance	ignorance	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
crucified	crucified	vvd	crucified	crucify	0
,	,	,	,	,	0
and	and	cc	and	and	0
thereof	thereof	av	thereof	thereof	0
take	take	vvb	take	take	0
their	their	po32	their	their	0
ground	ground	n1	ground	ground	0
and	and	cc	and	and	0
beginning	beginning	n1	beginning	beginning	0
.	.	.	.	.	1
Errours	Errours	n2	Errors	error	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Popes	Popes	ng1	Popes	pope	0
church	church	n1	church	church	0
how	how	c-crq	how	how	0
they	they	pns32	they	they	0
come	come	vvb	come	come	0
and	and	cc	and	and	0
take	take	vvi	take	take	0
their	their	po32	their	their	0
beginning	beginning	n1	beginning	beginning	0
.	.	.	.	.	1
Wherfore	Wherfore	q-crq	Wherefore	wherefore	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
remoue	remoue	vvi	remove	remove	0
this	this	d	this	this	0
disease	disease	n1	disease	disease	0
of	of	pp-f	of	of	0
ignoraunce	ignoraunce	n1	ignorance	ignorance	0
partely	partely	av	partly	partly	0
frō	frō	p-acp	from	from	0
these	these	d	these	these	0
aboue	aboue	a-acp	above	above	0
rehearsed	rehearsed	vvn	rehearsed	rehearse	0
,	,	,	,	,	0
wherby	wherby	c-crq	whereby	whereby	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
reduced	reduced	vvn	reduced	reduce	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
kynges	kynges	ng1	kings	king	0
hyeway	hyeway	n1	hyeway	hyeway	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
saluation	saluation	n1	salvation	salvation	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
especially	especially	av-j	especially	especial	0
for	for	c-acp	for	for	0
you	you	pn22	you	you	0
that	that	cst	that	that	0
be	be	vbb	be	be	0
mournyng	mournyng	n1	mourning	mourning	0
in	in	p-acp	in	in	0
conscience	conscience	n1	conscience	conscience	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
comfort	comfort	vvi	comfort	comfort	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
crucified	crucified	vvd	crucified	crucify	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
terrour	terrour	n1	terror	terror	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
law	law	n1	law	law	0
to	to	p-acp	to	to	0
much	much	d	much	much	0
oppresseth	oppresseth	vvz	oppresses	oppress	0
:	:	:	:	:	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
so	so	av	so	so	0
much	much	av-d	much	much	0
the	the	dt	the	the	0
rather	rather	av-c	rather	rather	0
persuaded	persuaded	vvd	persuaded	persuade	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
pu	pu	fw-fr	pu	pu	0
∣	∣	sy	∣	∣	0
blished	blished	vvn	blished	blish	0
,	,	,	,	,	0
that	that	cst	that	that	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
might	might	vmd	might	may	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
be	be	vbi	be	be	0
preached	preached	vvn	preached	preach	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
eares	eares	n2	ears	ear	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
printed	printed	vvn	printed	print	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
&	&	cc	&	and	0
paynted	paynted	j-vvn	painted	paint	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
which	which	r-crq	which	which	0
Sermō	Sermō	n1	Sermon	sermon	0
although	although	cs	although	although	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
fully	fully	av-j	fully	full	0
folow	folow	vvi	follow	follow	0
in	in	p-acp	in	in	0
speach	speach	n1	speech	speech	0
&	&	cc	&	and	0
forme	forme	n1	form	form	0
euery	euery	d	every	every	0
thing	thing	n1	thing	thing	0
so	so	av	so	so	0
precise	precise	j	precise	precise	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
as	as	a-acp	as	as	0
was	was	vbds	was	be	0
spokē	spokē	vvn	spoken	speak	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
as	as	c-acp	as	as	0
remēbrance	remēbrance	n1	remembrance	remembrance	0
could	could	vmd	could	can	0
serue	serue	vvi	serve	serve	0
me	me	pno11	me	i	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
much	much	d	much	much	0
digressed	digressed	vvd	digressed	digress	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
sentence	sentence	n1	sentence	sentence	0
,	,	,	,	,	0
order	order	n1	order	order	0
,	,	,	,	,	0
&	&	cc	&	and	0
principall	principall	j-jn	principal	principal	0
poyntes	poyntes	n2	points	point	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Sermon	Sermon	n1	Sermon	sermon	0
cōteined	cōteined	vvn	contained	contain	0
:	:	:	:	:	0
Addyng	Addyng	vvg	Adding	add	0
withall	withall	av	withal	withal	0
some	some	d	some	some	0
thynges	thynges	n2	things	thing	0
more	more	av-dc	more	more	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
before	before	a-acp	before	before	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
spoken	spoken	vvn	spoken	speak	0
,	,	,	,	,	0
and	and	cc	and	and	0
either	either	d	either	either	0
for	for	p-acp	for	for	0
plentie	plentie	n1	plenty	plenty	0
of	of	pp-f	of	of	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
or	or	cc	or	or	0
lacke	lacke	n1	lack	lack	0
of	of	pp-f	of	of	0
memorie	memorie	n1	memory	memory	0
were	were	vbdr	were	be	0
for	for	p-acp	for	for	0
∣	∣	sy	∣	∣	0
gotten	gotten	vvn	got	get	0
.	.	.	.	.	1
Also	Also	av	Also	also	0
certeine	certeine	j	certain	certain	0
other	other	j-jn	other	other	0
thynges	thynges	n2	things	thing	0
then	then	cs	then	than	0
not	not	xx	not	not	0
spoken	spoken	vvn	spoken	speak	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
here	here	av	here	here	0
inserted	inserted	vvn	inserted	insert	0
vpon	vpon	p-acp	upon	upon	0
necessary	necessary	j	necessary	necessary	0
occasion	occasion	n1	occasion	occasion	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
conueniently	conueniently	av-j	conveniently	convenient	0
ser	ser	fw-mi	ser	ser	0
∣	∣	sy	∣	∣	0
uyng	uyng	vvg	uyng	uyng	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
and	and	cc	and	and	0
necessarely	necessarely	av-j	necessarily	necessary	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
tyme	tyme	n1	time	time	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
in	in	p-acp	in	in	0
two	two	crd	two	two	0
poyntes	poyntes	n2	points	point	0
:	:	:	:	:	0
one	one	crd	one	one	0
concernyng	concernyng	vvg	concerning	concern	0
the	the	dt	the	the	0
dayly	dayly	j	daily	daily	0
sacrifice	sacrifice	n1	sacrifice	sacrifice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Masse	Masse	n1	Mass	mass	0
:	:	:	:	:	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
touchyng	touchyng	n-vvg	touching	touch	0
the	the	dt	the	the	0
possibilitie	possibilitie	n1	possibility	possibility	0
of	of	pp-f	of	of	0
ye	ye	dt	the	the	0
law	law	n1	law	law	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
cer	cer	n1	cer	cer	0
∣	∣	sy	∣	∣	0
teine	teine	j	teine	teine	0
other	other	j-jn	other	other	0
additions	additions	n2	additions	addition	0
incident	incident	j	incident	incident	0
.	.	.	.	.	1
Wherby	Wherby	c-crq	Whereby	whereby	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
(	(	(	(	(	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
graunt	graunt	vvi	grant	grant	0
)	)	)	)	)	0
is	is	vbz	is	be	0
growen	growen	vvn	grown	grow	0
somewhat	somewhat	av	somewhat	somewhat	0
more	more	dc	more	more	0
large	large	j	large	large	0
in	in	p-acp	in	in	0
pryntyng	pryntyng	vvg	pryntyng	pryntyng	0
,	,	,	,	,	0
then	then	cs	then	than	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
preachyng	preachyng	vvg	preaching	preach	0
.	.	.	.	.	1
And	And	cc	And	and	0
although	although	cs	although	although	0
the	the	dt	the	the	0
tyme	tyme	n1	time	time	0
now	now	av	now	now	0
I	I	pns11	I	i	0
see	see	vvb	see	see	0
so	so	av	so	so	0
miserable	miserable	j	miserable	miserable	0
,	,	,	,	,	0
that	that	cst	that	that	0
litle	litle	j	little	little	0
or	or	cc	or	or	0
nothyng	nothyng	pix	nothing	nothing	0
it	it	pn31	it	it	0
auayleth	auayleth	vvz	availeth	avail	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
paynes	paynes	n2	pains	pain	0
either	either	av-d	either	either	0
in	in	p-acp	in	in	0
preachyng	preachyng	vvg	preaching	preach	0
or	or	cc	or	or	0
pryntyng	pryntyng	vvg	pryntyng	pryntyng	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
men	men	n2	men	man	0
wholy	wholy	av-jn	wholly	whole	0
geuen	geuen	vvn	given	give	0
ouer	ouer	a-acp	over	over	0
to	to	p-acp	to	to	0
worldly	worldly	j	worldly	worldly	0
studyes	studyes	n2	studies	study	0
haue	haue	vhb	have	have	0
litle	litle	j	little	little	0
laysure	laysure	n1	laysure	laysure	0
and	and	cc	and	and	0
lesse	lesse	dc	less	less	0
lust	lust	n1	lust	lust	0
either	either	d	either	either	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
Sermons	Sermons	n2	Sermons	sermon	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
read	read	vvi	read	read	0
bookes	bookes	n2	books	book	0
,	,	,	,	,	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
Argument	Argument	n1	Argument	argument	0
neuer	neuer	av-x	never	never	0
so	so	av	so	so	0
graue	graue	j	graven	grave	0
and	and	cc	and	and	0
comforta	comforta	fw-la	comforta	comforta	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
:	:	:	:	:	0
Afflicted	Afflicted	j-vvn	Afflicted	afflict	0
con	con	fw-mi	con	con	0
∣	∣	sy	∣	∣	0
sciences	sciences	n2	sciences	science	0
.	.	.	.	.	0
yet	yet	av	yet	yet	0
notwithstandyng	notwithstandyng	a-acp	notwithstanding	notwithstanding	0
for	for	p-acp	for	for	0
somuch	somuch	av	somuch	somuch	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
a	a	dt	a	a	0
rem	rem	vvg	remembering	remember	0
∣	∣	sy	∣	∣	0
nant	nant	n1	nant	nant	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
faythfull	faythfull	j	faithful	faithful	0
seruauntes	seruauntes	n2	servants	servant	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
walke	walke	vvb	walk	walk	0
after	after	p-acp	after	after	0
theyr	theyr	po32	their	their	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
God	God	np1	God	God	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
perfect	perfect	j	perfect	perfect	0
hart	hart	n1	heart	hart	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
hearers	hearers	n2	hearers	hearer	0
onely	onely	av-j	only	only	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
sekers	sekers	n2	seekers	seeker	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
kingdome	kingdome	n1	kingdom	kingdom	0
:	:	:	:	:	0
and	and	cc	and	and	0
especially	especially	av-j	especially	especial	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
cause	cause	n1	cause	cause	0
,	,	,	,	,	0
that	that	cst	that	that	0
labour	labour	n1	labour	labour	0
&	&	cc	&	and	0
are	are	vbr	are	be	0
laden	laden	vvn	laden	lade	0
in	in	p-acp	in	in	0
consciēce	consciēce	n1	conscience	conscience	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
soeuer	soeuer	av	soever	soever	0
,	,	,	,	,	0
or	or	cc	or	or	0
what	what	q-crq	what	what	0
so	so	av	so	so	0
∣	∣	sy	∣	∣	0
euer	euer	av	ever	ever	0
ye	ye	pn22	you	you	0
be	be	vbb	be	be	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
whō	whō	ro-crq	whom	who	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
wrought	wrought	vvn	wrought	wrought	0
an	an	dt	and	a	0
earnest	earnest	j	earnest	earnest	0
hunger	hunger	n1	hunger	hunger	0
,	,	,	,	,	0
and	and	cc	and	and	0
hartie	hartie	j	hearty	hearty	0
seekyng	seekyng	vvg	seeking	seek	0
for	for	p-acp	for	for	0
hys	hys	po31	his	his	0
kyngdome	kyngdome	n1	kingdom	kingdom	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
you	you	pn22	you	you	0
most	most	ds	most	most	0
principal	principal	j-jn	principal	principal	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
penned	penned	vvn	penned	pen	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
,	,	,	,	,	0
De	De	fw-fr	De	de	0
Christo	Christo	fw-la	Christo	christo	0
crucifixo	crucifixo	fw-la	crucifixo	crucifixo	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
specially	specially	av-j	specially	special	0
I	I	pns11	I	i	0
dedicate	dedicate	vvb	dedicate	dedicate	0
and	and	cc	and	and	0
commende	commende	vvi	commend	commend	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
desiryng	desiryng	vvg	desiring	desire	0
the	the	dt	the	the	0
same	same	d	same	same	0
Lord	Lord	n1	Lord	lord	0
Iesus	Iesus	np1	Iesus	Jesus	0
crucified	crucified	vvd	crucified	crucify	0
for	for	p-acp	for	for	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
readyng	readyng	vvg	reading	read	0
hereof	hereof	av	hereof	hereof	0
may	may	vmb	may	may	0
receaue	receaue	vvi	receive	receive	0
such	such	d	such	such	0
spirituall	spirituall	j	spiritual	spiritual	0
refreshyng	refreshyng	n-vvg	refreshing	refresh	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
soules	soules	n2	souls	soul	0
,	,	,	,	,	0
&	&	cc	&	and	0
hygh	hygh	j	high	high	0
courage	courage	n1	courage	courage	0
of	of	pp-f	of	of	0
fayth	fayth	n1	faith	faith	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
,	,	,	,	,	0
that	that	cst	that	that	0
neither	neither	dx	neither	neither	0
Sathan	Sathan	np1	Sathan	Satan	0
may	may	vmb	may	may	0
deceaue	deceaue	vvi	deceive	deceive	0
you	you	pn22	you	you	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
the	the	dt	the	the	0
law	law	n1	law	law	0
terrifie	terrifie	vvi	terrify	terrify	0
you	you	pn22	you	you	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
death	death	n1	death	death	0
cōfound	cōfound	vvb	confound	confound	0
you	you	pn22	you	you	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
sinne	sinne	n1	sin	sin	0
oppresse	oppresse	vvb	oppress	oppress	0
you	you	pn22	you	you	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
conscience	conscience	n1	conscience	conscience	0
captiue	captiue	j-jn	captive	captive	0
you	you	pn22	you	you	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
hell	hell	n1	hell	hell	0
gates	gates	n2	gates	gate	0
preuayle	preuayle	vvi	prevail	prevail	0
ouer	ouer	p-acp	over	over	0
you	you	pn22	you	you	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
your	your	po22	your	your	0
rightly	rightly	av-jn	rightly	right	0
vnderstandyng	vnderstandyng	n1	understanding	understanding	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
Saintes	Saintes	n2	Saints	saint	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
callyng	callyng	n-vvg	calling	call	0
,	,	,	,	,	0
the	the	dt	the	the	0
riches	riches	n2	riches	riches	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
inheritance	inheritance	n1	inheritance	inheritance	0
,	,	,	,	,	0
the	the	dt	the	the	0
greatnesse	greatnesse	n1	greatness	greatness	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
power	power	n1	power	power	0
,	,	,	,	,	0
and	and	cc	and	and	0
aboun	aboun	n1	aboum	aboum	0
∣	∣	sy	∣	∣	0
daunce	daunce	n1	dance	dance	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
fauour	fauour	n1	favour	favour	0
toward	toward	p-acp	towards	towards	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
breadth	breadth	n1	breadth	breadth	0
,	,	,	,	,	0
length	length	n1	length	length	0
,	,	,	,	,	0
and	and	cc	and	and	0
profunditie	profunditie	n1	profundity	profundity	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
superadmirable	superadmirable	j	superadmirable	superadmirable	0
loue	loue	n1	love	love	0
of	of	pp-f	of	of	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
crucified	crucified	vvd	crucified	crucify	0
,	,	,	,	,	0
may	may	vmb	may	may	0
superabound	superabound	n1	superabound	superabound	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
heauenly	heauenly	j	heavenly	heavenly	0
courage	courage	n1	courage	courage	0
and	and	cc	and	and	0
consolation	consolation	n1	consolation	consolation	0
,	,	,	,	,	0
Ephes.	Ephes.	np1	Ephes.	Ephes.	1
1.	1.	crd	1.	1.	0
and	and	cc	and	and	0
also	also	av	also	also	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
holy	holy	j	holy	holy	0
pride	pride	n1	pride	pride	0
may	may	vmb	may	may	0
triumph	triumph	vvi	triumph	triumph	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
whom	whom	ro-crq	whom	who	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
wish	wish	vvb	wish	wish	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
all	all	d	all	all	0
spirituall	spirituall	j	spiritual	spiritual	0
benediction	benediction	n1	benediction	benediction	0
,	,	,	,	,	0
and	and	cc	and	and	0
goodnesse	goodnesse	n1	goodness	goodness	0
:	:	:	:	:	0
so	so	av	so	so	0
I	I	pns11	I	i	0
besech	besech	vvb	beseech	beseech	0
you	you	pn22	you	you	0
likewise	likewise	av	likewise	likewise	0
to	to	pc-acp	to	to	0
pray	pray	vvi	pray	pray	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
your	your	po22	your	your	0
fellowe	fellowe	n1	fellow	fellow	0
brother	brother	n1	brother	brother	0
,	,	,	,	,	0
seruaunt	seruaunt	n1	servant	servant	0
and	and	cc	and	and	0
louer	louer	n1	lover	lover	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
Lord	Lord	n1	Lord	lord	0
Iesus	Iesus	np1	Iesus	Jesus	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
preserue	preserue	vvb	preserve	preserve	0
both	both	av-d	both	both	0
