THIS	THIS	d	THIS	this	0
episi	episi	n1	episi	episi	0
.	.	.	.	.	1
13.	13.	crd	13.	13.	1
Nostris	Nostris	np1	Nostris	Nostris	0
peccatis	peccatis	fw-la	peccatis	peccatis	0
barbari	barbari	fw-la	barbari	barbari	0
fortes	fortes	n2	forts	fort	0
sunt	sunt	fw-la	sunt	sunt	0
,	,	,	,	,	0
nostris	nostris	fw-la	nostris	nostris	0
vitiis	vitiis	fw-la	vitiis	vitiis	0
Romanus	Romanus	np1	Romanus	Romanus	0
fugatur	fugatur	fw-la	fugatur	fugatur	0
exercitus	exercitus	fw-la	exercitus	exercitus	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
our	our	po12	our	our	0
sinnes	sinnes	n2	sins	sin	0
,	,	,	,	,	0
the	the	dt	the	the	0
barbarous	barbarous	j	barbarous	barbarous	0
(	(	(	(	(	0
heretickes	heretickes	n2	heretics	heretic	0
and	and	cc	and	and	0
barbarous	barbarous	j	barbarous	barbarous	0
persecu	persecu	n1	persecu	persecu	0
∣	∣	sy	∣	∣	0
tours	tours	ng2	tours	tours	0
)	)	)	)	)	0
become	become	vvb	become	become	0
strong	strong	j	strong	strong	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Roman	Roman	njp	Roman	roman	0
Armie	Armie	n1	Army	army	0
(	(	(	(	(	0
the	the	dt	the	the	0
Roman	Roman	njp	Roman	roman	0
Church	Church	n1	Church	church	0
)	)	)	)	)	0
is	is	vbz	is	be	0
chased	chased	vvn	chased	chase	0
,	,	,	,	,	0
and	and	cc	and	and	0
put	put	vvd	put	put	0
to	to	pc-acp	to	to	0
flight	flight	vvi	flight	flight	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
vices	vices	n2	vices	vice	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
ACHIOR	ACHIOR	np1	ACHIOR	ACHIOR	0
sayd	sayd	vvd	said	say	0
:	:	:	:	:	0
Si	Si	fw-mi	Si	si	0
non	non	fw-fr	non	non	0
est	est	fw-la	est	est	0
of	of	pp-f	of	of	0
∣	∣	sy	∣	∣	0
fensio	fensio	fw-la	fensio	fensio	0
populi	populi	fw-la	populi	populi	0
huius	huius	fw-la	huius	huius	0
coram	coram	fw-la	coram	coram	0
Deo	Deo	fw-la	Deo	deo	0
suo	suo	fw-la	suo	suo	0
(	(	(	(	(	0
Iudith	Iudith	np1	Iudith	Judith	0
.	.	.	.	.	1
5.	5.	crd	5.	5.	0
)	)	)	)	)	1
If	If	cs	If	if	0
there	there	pc-acp	there	there	0
bee	bee	vbi	be	be	0
no	no	dx	no	no	0
offence	offence	n1	offence	offence	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
your	your	po22	your	your	0
enemies	enemies	n2	enemies	enemy	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
lōg	lōg	av-j	long	long	0
preuaile	preuaile	vvi	prevail	prevail	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
God	God	np1	God	God	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
cause	cause	n1	cause	cause	0
you	you	pn22	you	you	0
sustaine	sustaine	vvi	sustain	sustain	0
,	,	,	,	,	0
will	will	vmb	will	will	0
fight	fight	vvi	fight	fight	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
.	.	.	.	.	1
14.	14.	crd	14.	14.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
(	(	(	(	(	0
O	O	uh	Oh	oh	0
constant	constant	j	constant	constant	0
Catholickes	Catholickes	njp2	Catholics	catholic	0
)	)	)	)	)	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
behould	behould	vvi	behold	behold	0
your	your	po22	your	your	0
vndaunted	vndaunted	j	undaunted	undaunted	0
courage	courage	n1	courage	courage	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
oppose	oppose	vvb	oppose	oppose	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
furie	furie	n1	fury	fury	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Persecutours	Persecutours	n2	Persecutors	persecutor	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
inuincible	inuincible	j	invincible	invincible	0
patience	patience	n1	patience	patience	0
,	,	,	,	,	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
hethert	hethert	n1	hethert	hethert	0
endured	endured	vvd	endured	endure	0
all	all	d	all	all	0
kind	kind	n1	kind	kind	0
of	of	pp-f	of	of	0
aduersities	aduersities	n2	adversities	adversity	0
,	,	,	,	,	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
but	but	cc-acp	but	but	0
admire	admire	vvi	admire	admire	0
and	and	cc	and	and	0
commend	commend	vvb	commend	commend	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
praise	praise	n1	praise	praise	0
God	God	np1	God	God	0
also	also	av	also	also	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
consider	consider	vvb	consider	consider	0
also	also	av	also	also	0
what	what	q-crq	what	what	0
is	is	vbz	is	be	0
befallen	befallen	vvn	befallen	befall	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
of	of	a-acp	of	off	0
late	late	av-j	late	late	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
meruaile	meruaile	vvb	marvel	marvel	0
not	not	xx	not	not	0
therat	therat	av	thereat	thereat	0
,	,	,	,	,	0
so	so	av	so	so	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
but	but	cc-acp	but	but	0
feareleast	feareleast	vvn	feareleast	feareleast	0
by	by	p-acp	by	by	0
that	that	d	that	that	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
thought	thought	vvd	thought	think	0
to	to	pc-acp	to	to	0
finde	finde	vvi	find	find	0
some	some	d	some	some	0
ease	ease	n1	ease	ease	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
heauy	heauy	j	heavy	heavy	0
yoke	yoke	n1	yoke	yoke	0
of	of	pp-f	of	of	0
persecution	persecution	n1	persecution	persecution	0
,	,	,	,	,	0
vnder	vnder	p-acp	under	under	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
grone	grone	vvb	groan	groan	0
,	,	,	,	,	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
augmented	augmented	vvn	augmented	augment	0
the	the	dt	the	the	0
burden	burden	n1	burden	burden	0
and	and	cc	and	and	0
prolonged	prolonged	vvn	prolonged	prolong	0
your	your	po22	your	your	0
miseries	miseries	n2	misery's	misery	0
.	.	.	.	.	1
I	I	pns11	I	i	0
meruaile	meruaile	vvb	marvel	marvel	0
not	not	xx	not	not	0
,	,	,	,	,	0
that	that	cst	that	that	0
after	after	p-acp	after	after	0
so	so	av	so	so	0
heauie	heauie	j	heavy	heavy	0
oppressions	oppressions	n2	oppressions	oppression	0
so	so	av	so	so	0
long	long	av-j	long	long	0
endured	endured	vvn	endured	endure	0
,	,	,	,	,	0
you	you	pn22	you	you	0
grone	grone	vvb	groan	groan	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Israelites	Israelites	np2	Israelites	Israelite	0
(	(	(	(	(	0
Exod.	Exod.	np1	Exod.	Exod.	1
2.	2.	crd	2.	2.	0
)	)	)	)	)	1
I	I	pns11	I	i	0
meruaile	meruaile	vvb	marvel	marvel	0
not	not	xx	not	not	0
,	,	,	,	,	0
that	that	cst	that	that	0
after	after	p-acp	after	after	0
so	so	av	so	so	0
furious	furious	j	furious	furious	0
assaultes	assaultes	n2	assaults	assault	0
so	so	av	so	so	0
long	long	av-j	long	long	0
sustained	sustained	vvn	sustained	sustain	0
,	,	,	,	,	0
some	some	d	some	some	0
giue	giue	vvb	give	give	0
backe	backe	av	back	back	0
,	,	,	,	,	0
and	and	cc	and	and	0
forsake	forsake	vvi	forsake	forsake	0
their	their	po32	their	their	0
place	place	n1	place	place	0
and	and	cc	and	and	0
standing	standing	n-vvg	standing	stand	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
what	what	r-crq	what	what	0
mer	mer	n1	mere	mere	0
∣	∣	sy	∣	∣	0
uaile	uaile	n1	vail	vail	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
winde	winde	n1	wind	wind	0
some	some	d	some	some	0
chasse	chasse	j	chasse	chaste	0
is	is	vbz	is	be	0
blown	blown	vvn	blown	blow	0
away	away	av	away	away	0
?	?	?	?	?	0
that	that	cst	that	that	0
amongst	amongst	p-acp	among	among	0
so	so	av	so	so	0
many	many	d	many	many	0
vessels	vessels	n2	vessels	vessel	0
put	put	vvn	put	put	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
fornace	fornace	n1	furnace	furnace	0
of	of	pp-f	of	of	0
tribulation	tribulation	n1	tribulation	tribulation	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
hardened	hardened	vvn	hardened	harden	0
,	,	,	,	,	0
some	some	d	some	some	0
breake	breake	n1	break	break	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
hardening	hardening	n-vvg	hardening	harden	0
?	?	?	?	?	0
for	for	p-acp	for	for	0
vasa	vasa	fw-la	vasa	vasa	0
figuli	figuli	fw-la	figuli	figuli	0
probat	probat	fw-la	probat	probat	0
fornax	fornax	fw-la	fornax	fornax	0
&c.	&c.	av	etc.	etc	0
the	the	dt	the	the	0
fornacetryeth	fornacetryeth	vvz	fornacetryeth	fornacetry	0
the	the	dt	the	the	0
potters	potters	ng1	potters	potters	0
vessels	vessels	n2	vessels	vessel	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
tentation	tentation	n1	tentation	tentation	0
of	of	pp-f	of	of	0
tribulation	tribulation	n1	tribulation	tribulation	0
iust	iust	j	just	just	0
men	men	n2	men	man	0
.	.	.	.	.	1
(	(	(	(	(	0
Eccl.	Eccl.	np1	Eccl.	Eccl.	0
27.	27.	crd	27.	27.	0
)	)	)	)	)	1
Rather	Rather	av-c	Rather	rather	0
I	I	pns11	I	i	0
meruaile	meruaile	vvb	marvel	marvel	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
storme	storme	n1	storm	storm	0
&	&	cc	&	and	0
trouble	trouble	vvi	trouble	trouble	0
∣	∣	sy	∣	∣	0
some	some	d	some	some	0
Sea	Sea	n1	Sea	sea	0
,	,	,	,	,	0
so	so	av	so	so	0
few	few	d	few	few	0
do	do	vdb	do	do	0
suffer	suffer	vvi	suffer	suffer	0
Shipwrack	Shipwrack	n1	Shipwreck	shipwreck	0
;	;	;	;	;	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
heape	heape	n1	heap	heap	0
of	of	pp-f	of	of	0
wheate	wheate	n1	wheat	wheat	0
,	,	,	,	,	0
so	so	av	so	so	0
litle	litle	j	little	little	0
chasse	chasse	j	chasse	chaste	0
is	is	vbz	is	be	0
found	found	vvn	found	find	0
;	;	;	;	;	0
and	and	cc	and	and	0
amongst	amongst	p-acp	among	among	0
so	so	av	so	so	0
many	many	d	many	many	0
peeces	peeces	n2	pieces	piece	0
of	of	pp-f	of	of	0
gould	gould	n1	gold	gold	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
haue	haue	vhb	have	have	0
been	been	vbn	been	be	0
cast	cast	vvn	cast	cast	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
fier	fier	n1	fire	fire	0
,	,	,	,	,	0
so	so	av	so	so	0
few	few	d	few	few	0
proue	proue	vvb	prove	prove	0
light	light	n1	light	light	0
and	and	cc	and	and	0
counterfet	counterfet	j-jn	counterfeit	counterfeit	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
I	I	pns11	I	i	0
feare	feare	vvb	fear	fear	0
also	also	av	also	also	0
least	least	cs	lest	lest	0
your	your	po22	your	your	0
late	late	j	late	late	0
giuing	giuing	vvg	giving	give	0
backe	backe	av	back	back	0
make	make	vvb	make	make	0
the	the	dt	the	the	0
enemie	enemie	n1	enemy	enemy	0
with	with	p-acp	with	with	0
more	more	dc	more	more	0
bouldnes	bouldnes	n1	bouldnes	boldness	0
to	to	pc-acp	to	to	0
presse	presse	vvi	press	press	0
vppon	vppon	p-acp	upon	upon	0
you	you	pn22	you	you	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
late	late	j	late	late	0
Anathema	Anathema	n1	Anathema	anathema	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
fallen	fallen	vvn	fallen	fall	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
prouoked	prouoked	vvn	provoked	provoke	0
the	the	dt	the	the	0
wrath	wrath	n1	wrath	wrath	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
against	against	p-acp	against	against	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
giuen	giuen	vvn	given	give	0
courage	courage	n1	courage	courage	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
enemie	enemie	n1	enemy	enemy	0
,	,	,	,	,	0
taken	taken	vvn	taken	take	0
it	it	pn31	it	it	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
added	added	vvn	added	add	0
surie	surie	n1	fury	fury	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
diminished	diminished	vvd	diminished	diminish	0
zeale	zeale	n1	zeal	zeal	0
and	and	cc	and	and	0
feruour	feruour	n1	fervour	fervour	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
.	.	.	.	.	1
15.	15.	crd	15.	15.	1
You	You	pn22	You	you	0
know	know	vvb	know	know	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
meane	meane	vvb	mean	mean	0
:	:	:	:	:	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
late	late	j	late	late	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
posed	posed	vvn	posed	pose	0
Oath	Oath	n1	Oath	oath	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
goeth	goeth	vvz	goes	go	0
vnder	vnder	p-acp	under	under	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
Ciuil	Ciuil	j	Civil	civil	0
Alleageance	Alleageance	n1	Allegiance	allegiance	0
gratefull	gratefull	j	grateful	grateful	0
to	to	p-acp	to	to	0
such	such	d	such	such	0
good	good	j	good	good	0
sub	sub	fw-la	sub	sub	0
∣	∣	sy	∣	∣	0
iects	iects	ng2-jn	iects	iects	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
Religion	Religion	n1	Religion	religion	0
and	and	cc	and	and	0
conscience	conscience	n1	conscience	conscience	0
tea	tea	n1	tea	tea	0
∣	∣	sy	∣	∣	0
cheth	cheth	vvz	cheth	ch	0
to	to	pc-acp	to	to	0
obey	obey	vvi	obey	obey	0
,	,	,	,	,	0
feare	feare	n1	fear	fear	0
,	,	,	,	,	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
serue	serue	vvb	serve	serve	0
your	your	po22	your	your	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
deceiued	deceiued	vvn	deceived	deceive	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
you	you	pn22	you	you	0
vnder	vnder	p-acp	under	under	0
this	this	d	this	this	0
alluring	alluring	j-vvg	alluring	allure	0
bayte	bayte	n1	bait	bait	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
swallow	swallow	vvi	swallow	swallow	0
downe	downe	a-acp	down	down	0
the	the	dt	the	the	0
hooke	hooke	n1	hook	hook	0
that	that	cst	that	that	0
galleth	galleth	vvz	galleth	gall	0
euen	euen	av-j	even	even	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
and	and	cc	and	and	0
conscience	conscience	n1	conscience	conscience	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
goulden	goulden	j	golden	golden	0
cup	cup	n1	cup	cup	0
to	to	pc-acp	to	to	0
drinke	drinke	vvi	drink	drink	0
your	your	po22	your	your	0
deadlie	deadlie	j	deadly	deadly	0
poison	poison	n1	poison	poison	0
and	and	cc	and	and	0
perdi	perdi	fw-it	perdi	perdi	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
:	:	:	:	:	0
Anathema	Anathema	n1	Anathema	anathema	0
est	est	fw-la	est	est	0
in	in	p-acp	in	in	0
medio	medio	fw-la	medio	medio	0
tui	tui	fw-la	tui	tui	0
Israel	Israel	np1	Israel	Israel	0
,	,	,	,	,	0
non	non	fw-fr	non	non	0
poteris	poteris	fw-la	poteris	poteris	0
stare	stare	vvb	stare	stare	0
coram	coram	fw-la	coram	coram	0
hostibus	hostibus	fw-la	hostibus	hostibus	0
tuis	tuis	fw-la	tuis	tuis	0
,	,	,	,	,	0
donec	donec	fw-la	donec	donec	0
deleatur	deleatur	ng1	deleatur	deleatur	0
ex	ex	fw-la	ex	ex	0
te	te	fw-la	te	te	0
,	,	,	,	,	0
qui	qui	fw-la	qui	qui	0
hoc	hoc	fw-la	hoc	hoc	0
contaminatus	contaminatus	fw-la	contaminatus	contaminatus	0
est	est	fw-la	est	est	0
scelere	scelere	n1	scelere	scelere	0
,	,	,	,	,	0
(	(	(	(	(	0
IOSVE	IOSVE	n1	IOSVE	iosve	0
7.	7.	crd	7.	7.	0
)	)	)	)	)	1
There	There	pc-acp	There	there	0
is	is	vbz	is	be	0
Anathema	Anathema	n1	Anathema	anathema	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
middest	middest	n1	midst	midst	0
of	of	pp-f	of	of	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
O	O	uh	Oh	oh	0
Israel	Israel	np1	Israel	Israel	0
;	;	;	;	;	0
thou	thou	pns21	thou	thou	0
canst	canst	vm2	canst	can	0
not	not	xx	not	not	0
stand	stand	vvi	stand	stand	0
before	before	p-acp	before	before	0
thine	thine	po21	thine	thy	0
enemies	enemies	n2	enemies	enemy	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
he	he	pns31	he	he	0
be	be	vbb	be	be	0
destroyed	destroyed	vvn	destroyed	destroy	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
thee	thee	pno21	thee	thou	0
(	(	(	(	(	0
or	or	cc	or	or	0
his	his	po31	his	his	0
sinne	sinne	n1	sin	sin	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
)	)	)	)	)	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
contaminated	contaminated	vvn	contaminated	contaminate	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
wicked	wicked	j	wicked	wicked	0
fact	fact	n1	fact	fact	0
.	.	.	.	.	1
VVherfore	VVherfore	c-crq	Wherefore	wherefore	0
,	,	,	,	,	0
O	O	uh	Oh	oh	0
VVorthie	VVorthie	j	Worthy	worthy	0
Catholickes	Catholickes	njp2	Catholics	catholic	0
,	,	,	,	,	0
let	let	vvb	let	let	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
thing	thing	n1	thing	thing	0
sticke	sticke	vvi	stick	stick	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
hādes	hādes	n2	hands	hand	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Anathema	Anathema	n1	Anathema	anathema	0
,	,	,	,	,	0
that	that	cst	that	that	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
turned	turned	vvn	turned	turn	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
wrath	wrath	n1	wrath	wrath	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
furie	furie	n1	fury	fury	0
,	,	,	,	,	0
and	and	cc	and	and	0
may	may	vmb	may	may	0
haue	haue	vhi	have	have	0
mercie	mercie	n1	mercy	mercy	0
on	on	p-acp	on	on	0
you	you	pn22	you	you	0
.	.	.	.	.	1
(	(	(	(	(	0
Deut.	Deut.	np1	Deut.	Deut.	0
13.	13.	crd	13.	13.	0
)	)	)	)	)	0
16.	16.	crd	16.	16.	1
You	You	pn22	You	you	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
ignorant	ignorant	j	ignorant	ignorant	0
,	,	,	,	,	0
that	that	cst	that	that	0
modicum	modicum	fw-la	modicum	modicum	0
fer	fer	fw-fr	fer	fer	0
∣	∣	sy	∣	∣	0
mentum	mentum	fw-la	mentum	mentum	0
totam	totam	fw-la	totam	totam	0
massam	massam	fw-la	massam	massam	0
corrumpit	corrumpit	n1	corrumpit	corrumpit	0
(	(	(	(	(	0
1.	1.	crd	1.	1.	1
Cor.	Cor.	np1	Cor.	Cor.	0
5.	5.	crd	5.	5.	0
)	)	)	)	)	1
A	A	dt	A	a	0
little	little	j	little	little	0
leauen	leauen	n1	leaven	leaven	0
corrupteth	corrupteth	vvz	corrupteth	corrupt	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
paste	paste	n1	past	paste	0
.	.	.	.	.	1
One	One	crd	One	one	0
mortall	mortall	j-jn	mortal	mortal	0
sinne	sinne	n1	sin	sin	0
mortifieth	mortifieth	vvz	mortifieth	mortifi	0
all	all	d	all	all	0
your	your	po22	your	your	0
former	former	j	former	former	0
merites	merites	n2	merits	merit	0
,	,	,	,	,	0
(	(	(	(	(	0
D.	D.	np1	D.	D.	0
Th.	Th.	np1	Th.	Th.	1
3.	3.	crd	3.	3.	0
p.	p.	n1	p.	p.	0
q	q	vvd	q	quoth	0
.	.	.	.	.	1
89.	89.	crd	89.	89.	0
a.	a.	n1	a.	a.	0
4.	4.	crd	4.	4.	0
)	)	)	)	)	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
offendeth	offendeth	vvz	offends	offend	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
point	point	n1	point	point	0
,	,	,	,	,	0
especiallie	especiallie	av-j	especially	especial	0
pertaining	pertaining	vvg	pertaining	pertain	0
to	to	p-acp	to	to	0
faith	faith	n1	faith	faith	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Churches	Churches	ng1	Churches	church	0
power	power	n1	power	power	0
&	&	cc	&	and	0
right	right	n-jn	right	right	0
,	,	,	,	,	0
is	is	vbz	is	be	0
made	made	vvn	made	make	0
guiltie	guiltie	j	guilty	guilty	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
(	(	(	(	(	0
Iac.	Iac.	np1	Iac.	Jac.	1
2.	2.	crd	2.	2.	0
)	)	)	)	)	1
This	This	d	This	this	0
one	one	crd	one	one	0
hole	hole	n1	hold	hole	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
persecutour	persecutour	n1	persecutor	persecutor	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
soule	soule	n1	soul	soul	0
,	,	,	,	,	0
is	is	vbz	is	be	0
sufficient	sufficient	j	sufficient	sufficient	0
to	to	pc-acp	to	to	0
let	let	vvi	let	let	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
water	water	n1	water	water	0
which	which	r-crq	which	which	0
will	will	vmb	will	will	0
drowne	drowne	vvi	drown	drown	0
you	you	pn22	you	you	0
:	:	:	:	:	0
this	this	d	this	this	0
one	one	crd	one	one	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
chiefe	chiefe	j-jn	chief	chief	0
visible	visible	j	visible	visible	0
Pastours	Pastours	ng1	Pastors	pastors	0
Authoritie	Authoritie	n1	Authority	authority	0
and	and	cc	and	and	0
power	power	n1	power	power	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
though	though	cs	though	though	0
forced	forced	vvn	forced	force	0
therunto	therunto	av	thereunto	thereunto	0
)	)	)	)	)	0
you	you	pn22	you	you	0
abiure	abiure	vvb	abjure	abjure	0
,	,	,	,	,	0
is	is	vbz	is	be	0
sufficient	sufficient	j	sufficient	sufficient	0
to	to	pc-acp	to	to	0
disgrace	disgrace	vvi	disgrace	disgrace	0
all	all	d	all	all	0
former	former	j	former	former	0
constant	constant	j	constant	constant	0
and	and	cc	and	and	0
glorious	glorious	j	glorious	glorious	0
Confession	Confession	n1	Confession	confession	0
.	.	.	.	.	1
And	And	cc	And	and	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
little	little	av-j	little	little	0
auaile	auaile	vvi	avail	avail	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
layed	layed	vvn	laid	lay	0
your	your	po22	your	your	0
hand	hand	n1	hand	hand	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
plough	plough	n1	plough	plough	0
,	,	,	,	,	0
if	if	cs	if	if	0
now	now	av	now	now	0
you	you	pn22	you	you	0
looke	looke	vvb	look	look	0
backe	backe	av	back	back	0
;	;	;	;	;	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
runne	runne	vvn	run	run	0
so	so	av	so	so	0
well	well	av	well	well	0
hetherto	hetherto	av	hitherto	hitherto	0
,	,	,	,	,	0
if	if	cs	if	if	0
now	now	av	now	now	0
you	you	pn22	you	you	0
faint	faint	vvb	faint	faint	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
goale	goale	n1	goal	goal	0
;	;	;	;	;	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
resisted	resisted	vvn	resisted	resist	0
hetherto	hetherto	av	hitherto	hitherto	0
so	so	av	so	so	0
va	va	uh	vam	va	0
iantlie	iantlie	av-j	iantlie	iantlie	0
,	,	,	,	,	0
if	if	cs	if	if	0
now	now	av	now	now	0
you	you	pn22	you	you	0
yeeld	yeeld	vvb	yield	yield	0
your	your	po22	your	your	0
selues	selues	n2	selves	self	0
slaues	slaues	n2	slaves	slave	0
to	to	p-acp	to	to	0
tyrannie	tyrannie	n1	tyranny	tyranny	0
.	.	.	.	.	1
17.	17.	crd	17.	17.	1
