Men	Men	np1	Men	Men	0
sakes	sakes	n2	sakes	sake	0
.	.	.	.	.	1
How	How	q-crq	How	how	0
easie	easie	j	easy	easy	0
would	would	vmd	would	will	0
all	all	d	all	all	0
his	his	po31	his	his	0
studies	studies	n2	studies	study	0
and	and	cc	and	and	0
labours	labours	n2	labours	labour	0
be	be	vbb	be	be	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
but	but	cc-acp	but	but	0
sweetned	sweetned	vvd	sweetened	sweeten	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
success	success	n1	success	success	0
?	?	?	?	?	1
How	How	c-crq	How	how	0
easily	easily	av-j	easily	easy	0
could	could	vmd	could	can	0
he	he	pns31	he	he	0
bear	bear	vvi	bear	bear	0
his	his	po31	his	his	0
scorns	scorns	n2	scorns	scorn	0
,	,	,	,	,	0
and	and	cc	and	and	0
threatnings	threatnings	n2-vvg	threatenings	threaten	0
,	,	,	,	,	0
and	and	cc	and	and	0
abuses	abuses	n2	abuses	abuse	0
,	,	,	,	,	0
and	and	cc	and	and	0
persecutions	persecutions	n2	persecutions	persecution	0
from	from	p-acp	from	from	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
saw	saw	vvd	saw	see	0
but	but	p-acp	but	but	0
such	such	d	such	such	0
a	a	dt	a	a	0
holy	holy	j	holy	holy	0
Unity	Unity	n1	Unity	unity	0
among	among	p-acp	among	among	0
his	his	po31	his	his	0
people	people	n1	people	people	0
to	to	pc-acp	to	to	0
encourage	encourage	vvi	encourage	encourage	0
him	him	pno31	him	he	0
?	?	?	?	?	1
So	So	av	So	so	0
far	far	av-j	far	far	0
are	are	vbr	are	be	0
your	your	po22	your	your	0
Teachers	Teachers	n2	Teachers	teacher	0
from	from	p-acp	from	from	0
exclud	exclud	vvi	exclude	exclude	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
you	you	pn22	you	you	0
from	from	p-acp	from	from	0
this	this	d	this	this	0
happiness	happiness	n1	happiness	happiness	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
stu	stu	fw-la	stu	stu	0
∣	∣	sy	∣	∣	0
dies	dies	fw-la	dies	dies	0
,	,	,	,	,	0
&	&	cc	&	and	0
preaching	preaching	vvg	preaching	preach	0
,	,	,	,	,	0
&	&	cc	&	and	0
prayers	prayers	n2	prayers	prayer	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
lives	lives	n2	lives	life	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
partake	partake	vvi	partake	partake	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
And	And	cc	And	and	0
glad	glad	j	glad	glad	0
would	would	vmd	would	will	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
to	to	pc-acp	to	to	0
preach	preach	vvi	preach	preach	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
exhort	exhort	vvb	exhort	exhort	0
you	you	pn22	you	you	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
hunger	hunger	n1	hunger	hunger	0
and	and	cc	and	and	0
thirst	thirst	n1	thirst	thirst	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
cold	cold	j-jn	cold	cold	0
and	and	cc	and	and	0
nakedness	nakedness	n1	nakedness	nakedness	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
the	the	dt	the	the	0
contempt	contempt	n1	contempt	contempt	0
and	and	cc	and	and	0
derision	derision	n1	derision	derision	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
if	if	cs	if	if	0
thereby	thereby	av	thereby	thereby	0
they	they	pns32	they	they	0
could	could	vmd	could	can	0
but	but	p-acp	but	but	0
bring	bring	vvi	bring	bring	0
their	their	po32	their	their	0
parishes	parishes	n2	parishes	parish	0
to	to	pc-acp	to	to	0
agree	agree	vvi	agree	agree	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
faith	faith	n1	faith	faith	0
and	and	cc	and	and	0
holiness	holiness	n1	holiness	holiness	0
.	.	.	.	.	1
And	And	cc	And	and	0
sure	sure	av-j	sure	sure	0
our	our	po12	our	our	0
difference	difference	n1	difference	difference	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
godly	godly	j	godly	godly	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
admit	admit	vvi	admit	admit	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
joyn	joyn	vvi	join	join	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
waies	waies	n2	ways	way	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
;	;	;	;	;	0
For	For	c-acp	For	for	0
they	they	pns32	they	they	0
cannot	cannot	vmbx	cannot	can	0
hinder	hinder	vvi	hinder	hinder	0
you	you	pn22	you	you	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
;	;	;	;	;	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
could	could	vmd	could	can	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
their	their	po32	their	their	0
joy	joy	n1	joy	joy	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
house	house	n1	house	house	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
filled	filled	vvd	filled	fill	0
with	with	p-acp	with	with	0
guests	guests	n2	guests	guest	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
o	o	uh	oh	oh	0
the	the	dt	the	the	0
wedding	wedding	n1	wedding	wedding	0
garment	garment	n1	garment	garment	0
.	.	.	.	.	1
We	We	pns12	We	we	0
must	must	vmb	must	must	0
conclude	conclude	vvi	conclude	conclude	0
therefor	therefor	av	therefore	therefore	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
ungodly	ungodly	j	ungodly	ungodly	0
that	that	cst	that	that	0
a	a	dt	a	a	0
the	the	dt	the	the	0
wilfull	wilfull	j	wilful	wilful	0
and	and	cc	and	and	0
obstinate	obstinate	j	obstinate	obstinate	0
div	div	crd	div	div	0
¦	¦	sy	¦	¦	0
ders	ders	n2-jn	dears	dear	0
.	.	.	.	.	1
They	They	pns32	They	they	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
unite	unite	vvi	unite	unite	0
to	to	p-acp	to	to	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
reconciled	reconciled	vvn	reconciled	reconcile	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
.	.	.	.	.	1
The	The	dt	The	the	0
might	might	n1	might	might	0
be	be	vbb	be	be	0
admitted	admitted	vvn	admitted	admit	0
into	into	p-acp	into	into	0
th	th	dt	that	the	0
Communion	Communion	n1	Communion	communion	0
of	of	pp-f	of	of	0
Saints	Saints	n2	Saints	saint	0
,	,	,	,	,	0
an	an	cs	and	an	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
houshold	houshold	n1	household	household	0
of	of	pp-f	of	of	0
Go	Go	vvb	Go	go	0
and	and	cc	and	and	0
partake	partake	vvi	partake	partake	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Priv	Priv	np1	Priv	Priv	0
¦	¦	sy	¦	¦	0
ledges	ledges	n2	ledges	ledge	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
children	children	n2	children	child	0
;	;	;	;	;	0
an	an	cs	and	an	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
.	.	.	.	.	1
They	They	pns32	They	they	0
have	have	vhb	have	have	0
lea	lea	n1	lea	lea	0
to	to	pc-acp	to	to	0
Read	Read	vvi	Read	read	0
,	,	,	,	,	0
and	and	cc	and	and	0
pray	pray	vvb	pray	pray	0
,	,	,	,	,	0
and	and	cc	and	and	0
medi	medi	fw-la	medi	medi	0
∣	∣	sy	∣	∣	0
tate	tate	n1	tate	tate	0
,	,	,	,	,	0
and	and	cc	and	and	0
walk	walk	vvi	walk	walk	0
with	with	p-acp	with	with	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
heavenly	heavenly	j	heavenly	heavenly	0
conversation	conversation	n1	conversation	conversation	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
neighbours	neighbours	n2	neighbours	neighbour	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selves	selves	n2	selves	self	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
refusers	refusers	n2	refusers	refuser	0
,	,	,	,	,	0
and	and	cc	and	and	0
continue	continue	vvi	continue	continue	0
the	the	dt	the	the	0
division	division	n1	division	division	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
displeasing	displeasing	vvg	displeasing	displease	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
grief	grief	n1	grief	grief	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
gratifying	gratifying	vvg	gratifying	gratify	0
of	of	pp-f	of	of	0
Satan	Satan	np1	Satan	Satan	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
perdition	perdition	n1	perdition	perdition	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
own	own	d	own	own	0
im	im	p-acp	im	in	0
∣	∣	sy	∣	∣	0
mortall	mortall	j-jn	mortal	mortal	0
Souls	Souls	n2	Souls	soul	0
.	.	.	.	.	1
We	We	pns12	We	we	0
might	might	vmd	might	may	0
all	all	d	all	all	0
be	be	vbi	be	be	0
united	united	vvn	united	unite	0
,	,	,	,	,	0
and	and	cc	and	and	0
our	our	po12	our	our	0
divisions	divisions	n2	divisions	division	0
be	be	vbb	be	be	0
healed	healed	vvn	healed	heal	0
,	,	,	,	,	0
and	and	cc	and	and	0
God	God	np1	God	God	0
much	much	av-d	much	much	0
ho	ho	uh	ho	ho	0
∣	∣	sy	∣	∣	0
noured	noured	j-vvn	noured	nour	0
,	,	,	,	,	0
and	and	cc	and	and	0
Ministers	Ministers	n2	Ministers	minister	0
and	and	cc	and	and	0
good	good	j	good	good	0
Christians	Christians	np1	Christians	Christians	0
be	be	vbi	be	be	0
exceeding	exceeding	vvg	exceeding	exceed	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
comforted	comforted	vvn	comforted	comfort	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
and	and	cc	and	and	0
Commonwealth	Commonwealth	n1	Commonwealth	commonwealth	0
be	be	vbb	be	be	0
deli	deli	j	deli	deli	0
∣	∣	sy	∣	∣	0
vered	vered	j-vvn	vered	vex	0
and	and	cc	and	and	0
highly	highly	av-j	highly	high	0
honoured	honoured	vvn	honoured	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
themselves	themselves	px32	themselves	themselves	0
be	be	vbi	be	be	0
saved	saved	j-vvn	saved	save	0
from	from	p-acp	from	from	0
everlasting	everlasting	j	everlasting	everlasting	0
misery	misery	n1	misery	misery	0
,	,	,	,	,	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
could	could	vmd	could	can	0
but	but	cc-acp	but	but	0
get	get	vvi	get	get	0
the	the	dt	the	the	0
hearty	hearty	j	hearty	hearty	0
consent	consent	n1	consent	consent	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
foolish	foolish	j	foolish	foolish	0
obstinate	obstinate	j	obstinate	obstinate	0
ungod	ungod	n1	ungod	ungod	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
men	men	n2	men	man	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
say	say	vvb	say	say	0
you	you	pn22	you	you	0
,	,	,	,	,	0
wretched	wretched	j	wretched	wretched	0
Souls	Souls	n2	Souls	soul	0
,	,	,	,	,	0
can	can	vmb	can	can	0
you	you	pn22	you	you	0
deny	deny	vvi	deny	deny	0
it	it	pn31	it	it	0
?	?	?	?	?	1
How	How	c-crq	How	how	0
long	long	av-j	long	long	0
have	have	vhb	have	have	0
your	your	po22	your	your	0
Teachers	Teachers	n2	Teachers	teacher	0
been	been	vbn	been	be	0
labouring	labouring	vvg	labouring	labour	0
in	in	p-acp	in	in	0
vain	vain	j	vain	vain	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
hearty	hearty	j	hearty	hearty	0
Love	Love	n1	Love	love	0
o	o	sy	oh	o	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
heaven	heaven	n1	heaven	heaven	0
,	,	,	,	,	0
and	and	cc	and	and	0
serious	serious	j	serious	serious	0
holiness	holiness	n1	holiness	holiness	0
?	?	?	?	?	1
How	How	c-crq	How	how	0
long	long	av-j	long	long	0
have	have	vhb	have	have	0
they	they	pns32	they	they	0
been	been	vbn	been	be	0
perswading	perswading	vvg	persuading	persuade	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
up	up	a-acp	up	up	0
Reading	Reading	vvg	Reading	read	0
,	,	,	,	,	0
and	and	cc	and	and	0
Catechizing	Catechizing	vvg	Catechizing	catechize	0
and	and	cc	and	and	0
constant	constant	j	constant	constant	0
fervent	fervent	j	fervent	fervent	0
prayer	prayer	n1	prayer	prayer	0
i	i	pns11	i	i	0
your	your	po22	your	your	0
families	families	n2	families	family	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
un	un	j	un	unacustomated	0
∣	∣	sy	∣	∣	0
done	done	vdn	done	do	0
?	?	?	?	?	1
How	How	c-crq	How	how	0
long	long	av-j	long	long	0
have	have	vhb	have	have	0
they	they	pns32	they	they	0
in	in	p-acp	in	in	0
vain	vain	j	vain	vain	0
been	been	vbn	been	be	0
perswading	perswading	vvg	persuading	persuade	0
the	the	dt	the	the	0
worldling	worldling	n1	worldling	worldling	0
from	from	p-acp	from	from	0
his	his	po31	his	his	0
worldli	worldli	j	worldly	worldly	0
∣	∣	sy	∣	∣	0
ness	ness	n1	ness	ness	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Proud	Proud	j	Proud	proud	0
person	person	n1	person	person	0
to	to	p-acp	to	to	0
humility	humility	n1	humility	humility	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
sensual	sensual	j	sensual	sensual	0
beast	beast	n1	beast	beast	0
from	from	p-acp	from	from	0
his	his	po31	his	his	0
tipling	tipling	j-vvg	tippling	tipple	0
,	,	,	,	,	0
and	and	cc	and	and	0
gluttony	gluttony	n1	gluttony	gluttony	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
fleshly	fleshly	j	fleshly	fleshly	0
pleasures	pleasures	n2	pleasures	pleasure	0
?	?	?	?	?	1
And	And	cc	And	and	0
besides	besides	p-acp	beside	beside	0
this	this	d	this	this	0
,	,	,	,	,	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
disorders	disorders	n2	disorders	disorder	0
and	and	cc	and	and	0
divisions	divisions	n2	divisions	division	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Churches	Churches	n2	Churches	church	0
are	are	vbr	are	be	0
caused	caused	vvn	caused	cause	0
by	by	p-acp	by	by	0
ungodly	ungodly	j	ungodly	ungodly	0
men	men	n2	men	man	0
.	.	.	.	.	1
I	I	pns11	I	i	0
will	will	vmb	will	will	0
instance	instance	n1	instance	instance	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
few	few	d	few	few	0
particulars	particulars	n2-j	particulars	particular	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	1
When	When	c-crq	When	when	0
we	we	pns12	we	we	0
ask	ask	vvb	ask	ask	0
any	any	d	any	any	0
god	god	n1	god	god	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
diligent	diligent	j	diligent	diligent	0
Ministers	Ministers	n2	Ministers	minister	0
,	,	,	,	,	0
either	either	av-d	either	either	0
in	in	p-acp	in	in	0
London	London	np1	London	London	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
Country	Country	n1	Country	country	0
,	,	,	,	,	0
why	why	c-crq	why	why	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
unanimously	unanimously	av-j	unanimously	unanimous	0
ca	ca	zz	ca	ca	0
∣	∣	sy	∣	∣	0
techize	techize	vvb	techize	techize	0
,	,	,	,	,	0
instruct	instruct	vvb	instruct	instruct	0
and	and	cc	and	and	0
confer	confer	vvi	confer	confer	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
the	the	dt	the	the	0
Inhabitants	Inhabitants	n2	Inhabitants	inhabitant	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Parishes	Parishes	n2	Parishes	parish	0
,	,	,	,	,	0
man	man	n1	man	man	0
by	by	p-acp	by	by	0
man	man	n1	man	man	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
help	help	vvi	help	help	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
try	try	vvi	try	try	0
their	their	po32	their	their	0
spi	spi	vvb	spi	spi	0
∣	∣	sy	∣	∣	0
rituall	rituall	j	ritual	ritual	0
state	state	n1	state	state	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
prepare	prepare	vvi	prepare	prepare	0
in	in	p-acp	in	in	0
health	health	n1	health	health	0
for	for	p-acp	for	for	0
death	death	n1	death	death	0
and	and	cc	and	and	0
judge	judge	n1	judge	judge	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
?	?	?	?	?	0
they	they	pns32	they	they	0
usually	usually	av-j	usually	usual	0
answer	answer	vvb	answer	answer	0
us	us	pno12	us	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
alas	alas	uh	alas	alas	0
their	their	po32	their	their	0
people	people	n1	people	people	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
consent	consent	vvi	consent	consent	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
many	many	d	many	many	0
would	would	vmd	would	will	0
revile	revile	vvi	revile	revile	0
them	them	pno32	them	they	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
at	at	p-acp	at	at	0
∣	∣	sy	∣	∣	0
tempt	tempt	vvi	tempt	tempt	0
it	it	pn31	it	it	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	1
When	When	c-crq	When	when	0
we	we	pns12	we	we	0
ask	ask	vvb	ask	ask	0
them	them	pno32	them	they	0
why	why	c-crq	why	why	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
set	set	vvi	set	set	0
up	up	a-acp	up	up	0
the	the	dt	the	the	0
practice	practice	n1	practice	practice	0
of	of	pp-f	of	of	0
Discipline	Discipline	n1	Discipline	discipline	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
so	so	av	so	so	0
unanimously	unanimously	av-j	unanimously	unanimous	0
plead	plead	vvi	plead	plead	0
for	for	p-acp	for	for	0
?	?	?	?	?	0
and	and	cc	and	and	0
why	why	c-crq	why	why	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
call	call	vvi	call	call	0
their	their	po32	their	their	0
people	people	n1	people	people	0
to	to	p-acp	to	to	0
Confirmation	Confirmation	n1	Confirmation	confirmation	0
,	,	,	,	,	0
or	or	cc	or	or	0
open	open	j	open	open	0
profession	profession	n1	profession	profession	0
of	of	pp-f	of	of	0
faith	faith	n1	faith	faith	0
and	and	cc	and	and	0
holiness	holiness	n1	holiness	holiness	0
in	in	p-acp	in	in	0
order	order	n1	order	order	0
thereto	thereto	av	thereto	thereto	0
;	;	;	;	;	0
they	they	pns32	they	they	0
tell	tell	vvb	tell	tell	0
us	us	pno12	us	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
their	their	po32	their	their	0
people	people	n1	people	people	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
endure	endure	vvi	endure	endure	0
it	it	pn31	it	it	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
many	many	d	many	many	0
will	will	vmb	will	will	0
rather	rather	av-c	rather	rather	0
set	set	vvi	set	set	0
themselves	themselves	px32	themselves	themselves	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Ministry	Ministry	n1	Ministry	ministry	0
,	,	,	,	,	0
and	and	cc	and	and	0
strengthen	strengthen	vvi	strengthen	strengthen	0
the	the	dt	the	the	0
enemy	enemy	n1	enemy	enemy	0
that	that	cst	that	that	0
now	now	av	now	now	0
endan	endan	n1	endan	endan	0
∣	∣	sy	∣	∣	0
gereth	gereth	vvz	gereth	ger	0
the	the	dt	the	the	0
Churches	Churches	ng1	Churches	church	0
safety	safety	n1	safety	safety	0
,	,	,	,	,	0
or	or	cc	or	or	0
turn	turn	vvi	turn	turn	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
licentious	licentious	j	licentious	licentious	0
Sect	Sect	n1	Sect	sect	0
,	,	,	,	,	0
then	then	cs	then	than	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
thus	thus	av	thus	thus	0
submit	submit	vvi	submit	submit	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
undoubted	undoubted	j	undoubted	undoubted	0
Ordinance	Ordinance	n1	Ordinance	ordinance	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Churches	Churches	n2	Churches	church	0
are	are	vbr	are	be	0
so	so	av	so	so	0
commonly	commonly	av-j	commonly	common	0
agreed	agreed	vvn	agreed	agree	0
in	in	p-acp	in	in	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
duty	duty	n1	duty	duty	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	1
We	We	pns12	We	we	0
have	have	vhb	have	have	0
an	an	dt	and	a	0
ancien	ancien	fw-fr	ancien	ancien	0
too-imperfect	too-imperfect	j	too-imperfect	too-imperfect	0
version	version	n1	version	version	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Psalms	Psalms	n2	Psalms	psalm	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
sing	sing	vvb	sing	sing	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Congregations	Congregations	n2	Congregations	congregation	0
;	;	;	;	;	0
&	&	cc	&	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
judg	judg	n1	judge	judge	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Divines	Divines	n2-jn	Divines	divine	0
that	that	cst	that	that	0
ever	ever	av	ever	ever	0
I	I	pns11	I	i	0
spoke	spoke	vvd	spoke	speak	0
with	with	p-acp	with	with	0
about	about	p-acp	about	about	0
it	it	pn31	it	it	0
(	(	(	(	(	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
side	side	n1	side	side	0
soever	soever	av	soever	soever	0
)	)	)	)	)	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
our	our	po12	our	our	0
duty	duty	n1	duty	duty	0
to	to	pc-acp	to	to	0
use	use	vvi	use	use	0
a	a	dt	a	a	0
better	better	jc	better	better	0
Version	Version	np1	Version	Version	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
perform	perform	vvi	perform	perform	0
so	so	av	so	so	0
excellent	excellent	j	excellent	excellent	0
a	a	dt	a	a	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
publick	publick	j	public	public	0
Worship	Worship	n1	Worship	worship	0
,	,	,	,	,	0
so	so	av	so	so	0
lamely	lamely	av-j	lamely	lame	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
so	so	av	so	so	0
many	many	d	many	many	0
blemishes	blemishes	n2	blemishes	blemish	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
ask	ask	vvb	ask	ask	0
the	the	dt	the	the	0
Ministers	Ministers	n2	Ministers	minister	0
why	why	c-crq	why	why	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
unanimously	unanimously	av-j	unanimously	unanimous	0
agree	agree	vvi	agree	agree	0
on	on	p-acp	on	on	0
a	a	dt	a	a	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
formed	formed	vvn	formed	form	0
corrected	corrected	vvn	corrected	correct	0
Version	Version	np1	Version	Version	0
,	,	,	,	,	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
will	will	vmb	will	will	0
tell	tell	vvi	tell	tell	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
their	their	po32	their	their	0
people	people	n1	people	people	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
bear	bear	vvi	bear	bear	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
proudly	proudly	av-j	proudly	proud	0
and	and	cc	and	and	0
turbulent	turbulent	j	turbulent	turbulent	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
reproach	reproach	n1	reproach	reproach	0
them	them	pno32	them	they	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
changing	changing	vvg	changing	change	0
the	the	dt	the	the	0
Word	Word	n1	Word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
4.	4.	crd	4.	4.	1
In	In	p-acp	In	in	0
many	many	d	many	many	0
places	places	n2	places	place	0
the	the	dt	the	the	0
Sacra	Sacra	fw-la	Sacra	sacra	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
of	of	pp-f	of	of	0
Baptism	Baptism	n1	Baptism	baptism	0
is	is	vbz	is	be	0
ofter	ofter	av-c	ofter	oft	0
used	used	vvn	used	use	0
in	in	p-acp	in	in	0
private	private	j	private	private	0
houses	houses	n2	houses	house	0
